"gene_id","aqp_family_subfamily","subfamilia_phylo","fuente_seq","needs_reannotation","GreenFruit_1","GreenFruit_2","GreenFruit_3","RedFruit_1","RedFruit_2","RedFruit_3","Crown_1","Crown_2","Crown_3","LeafCtrl_1","LeafCtrl_2","LeafCtrl_3","RootsCtrl_1","RootsCtrl_3","AuxBud_1"
"Fxa3Dg00712","FaNIP1","NIP","GFF3",FALSE,5.82586304866809,3.73293233202797,3.89066873268209,0.694860565282552,1.09947661561341,2.07593451975589,2.47278021994334,1.03877119463241,1.87247450314754,5.29326350530525,1.38319736283926,4.01169493440285,26.405654440916,20.6228525721245,1.00372243446919
"Fxa3Dg00713","FaNIP1","NIP","GFF3",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fxa3Dg02827","FaPIP2","PIP","GFF3",FALSE,153.153167702069,125.748355671583,149.781395244783,4.21240578738886,2.57089450815184,2.57988321620951,120.324282719503,100.828316453612,96.5434392901013,44.7578901350855,34.5825898599096,33.8407769886585,458.66105571034,324.311582286085,14.7860591888892
"Fxa3Dg02998","FaTIP1","TIP","GFF3",FALSE,9.56147452923159,12.6806521998309,9.39386570773694,0.847329969894911,0.359123753237038,0.237322999841698,9.61148768493713,16.489758742337,9.91826338385961,7.98459101515604,4.72721185055541,3.98122189581113,153.403226304939,100.351392659572,19.8129122007261
"Fxa4Ag01484","FaNIP7","NIP","GFF3_FALLBACK",TRUE,0,0.128486553006141,0,0.130214334787609,0,0,0.810932485064337,0,0.789513503192805,0.115940836615525,0.368345566380605,0,0.887739064359648,0.166420219999291,0.141070441660471
"Fxa4Ag03283","FaNIP4","NIP","EXONERATE",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fxa4Bg01616","FaNIP7","NIP","GFF3",FALSE,0,0.0884445108021724,0,0,0,0,1.51514244640935,1.98123752557459,0.815199730180242,0,0,0,0.101846776219343,0,0
"Fxa4Bg03148","FaNIP4","NIP","EXONERATE",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fxa4Cg01442","FaNIP7","NIP","GFF3",FALSE,0,0,0,0,0,0,0,0.0882564999950847,0.464012322051912,0,0,0,0,0,0
"Fxa4Cg03033","FaNIP4","NIP","EXONERATE",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fxa4Dg01302","FaNIP7","NIP","GFF3",FALSE,1.42892695362132,1.72778220398047,1.20747726091056,0,0,0,0,0,0,0,0,0,0,0,0
"Fxa4Dg02771","FaNIP4","NIP","EXONERATE",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
