"gene_id","aqp_family_subfamily","subfamilia_phylo","crown","green_fruit","leaf","red_fruit","roots","aux_bud"
"Fxa6Cg04054","FaNIP2","NIP",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Fxa6Cg04057","FaNIP2","NIP",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"Fxa6Dg00623","FaNIP1","NIP",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"Fxa6Dg00624","FaNIP1","NIP",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Fxa6Dg01485","FaTIP1","TIP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Fxa6Dg02490","FaNIP6","NIP",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"Fxa6Dg02788","FaTIP2","TIP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Fxa6Dg03788","FaSIP1","SIP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Fxa6Dg03790","FaSIP1","SIP",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"Fxa6Dg04288","FaNIP2","NIP",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Fxa6Dg04289","FaNIP2","NIP",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Fxa7Ag00344","FaTIP1","TIP",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"Fxa7Ag01470","FaPIP1","PIP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Fxa7Ag01972","FaPIP2","PIP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Fxa7Ag02144","FaTIP1","TIP",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Fxa7Ag02374","FaPIP1","PIP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Fxa7Ag02742","FaTIP5","TIP",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Fxa7Bg00386","FaTIP1","TIP",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
"Fxa7Bg01478","FaPIP1","PIP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Fxa7Bg01892","FaPIP2","PIP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Fxa7Bg02050","FaTIP1","TIP",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Fxa7Bg02233","FaPIP1","PIP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Fxa7Bg02566","FaTIP5","TIP",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Fxa7Cg00335","FaTIP1","TIP",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"Fxa7Cg01379","FaPIP1","PIP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Fxa7Cg01769","FaPIP2","PIP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Fxa7Cg01932","FaTIP1","TIP",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
