"homeolog_group","tissue","subgenome","family","sub_subfamily","mean_proportion","sd_proportion","mean_tpm"
"HG-16","roots","B","TIP","TIP2;3",0.210906278912695,0.0205716958587927,245.376195384127
"HG-16","roots","C","TIP","TIP2;3",0.176466583687576,0.0218611652874569,197.239244159047
"HG-16","roots","D","TIP","TIP2;3",0.408519211565343,0.000649133938396308,467.192281345156
"HG-17","aux_bud","A","SIP","SIP1;1",0.596423279720921,NA,19.7223055185355
"HG-17","aux_bud","C","SIP","SIP1;1",0.403576720279079,NA,13.3453264621678
"HG-17","crown","A","SIP","SIP1;1",0.655413198103046,0.0397955948759394,17.3152965800701
"HG-17","crown","C","SIP","SIP1;1",0.344586801896954,0.0397955948759394,9.10680736002532
"HG-17","green_fruit","A","SIP","SIP1;1",0.688038920721856,0.0214772004501105,27.5977505338743
"HG-17","green_fruit","C","SIP","SIP1;1",0.311961079278144,0.0214772004501105,12.4709519690157
"HG-17","leaf","A","SIP","SIP1;1",0.698590751343215,0.038414035079511,16.1868042972083
"HG-17","leaf","C","SIP","SIP1;1",0.301409248656785,0.038414035079511,6.90226322826326
"HG-17","red_fruit","A","SIP","SIP1;1",0.734917718845236,0.0476139587121829,29.8375104249953
"HG-17","red_fruit","C","SIP","SIP1;1",0.265082281154764,0.0476139587121829,10.7774895659479
"HG-17","roots","A","SIP","SIP1;1",0.641569156274178,0.0159173650296397,15.4641219044182
"HG-17","roots","C","SIP","SIP1;1",0.358430843725822,0.0159173650296396,8.60262319042678
"HG-18","red_fruit","A","NIP","NIP1;2",0,0,0
"HG-18","red_fruit","D","NIP","NIP1;2",1,0,8.01112286634512
"HG-19","aux_bud","A","NIP","NIP1;2",0.432086304747092,NA,1.57658985533152
"HG-19","aux_bud","B","NIP","NIP1;2",0.0785611463176531,NA,0.286652700969367
"HG-19","aux_bud","D","NIP","NIP1;2",0.489352548935255,NA,1.78554204531782
"HG-19","crown","A","NIP","NIP1;2",0.140324842080414,0.0420195038115052,2.4749837335989
